LD-0001	03-Jul-2026	UAE	Dental clinic	Dr. Rocco's Specialized Dental Center			Abu Dhabi	http://drroccodental.com	https://www.google.com/maps/place/Dr.+Rocco%27s+Specialized+Dental+Center/data=!4m7!3m6!1s0x3e5e6672061a148b:0xf6cb5f6bacf65ca1!8m2!3d24.4804233!4d54.3573554!16s%2Fg%2F11bbwnyf_y!19sChIJixQaBnJmXj4RoVz2rGtfy_Y?authuser=0&hl=en&rclk=1				971508376144	+971 2 633 2900				Website Maintenance		Google Maps	New	Warm				Not Sent		-	-			
LD-0002	03-Jul-2026	UAE	Medical Center	المركز الطبي الملكي - جراحة اليوم الواحد			Abu Dhabi	https://royalmedical.ae/	https://www.google.com/maps/place/%D8%A7%D9%84%D9%85%D8%B1%D9%83%D8%B2+%D8%A7%D9%84%D8%B7%D8%A8%D9%8A+%D8%A7%D9%84%D9%85%D9%84%D9%83%D9%8A+-+%D8%AC%D8%B1%D8%A7%D8%AD%D8%A9+%D8%A7%D9%84%D9%8A%D9%88%D9%85+%D8%A7%D9%84%D9%88%D8%A7%D8%AD%D8%AF%E2%80%AD/data=!4m7!3m6!1s0x3e5e49c75ba86827:0xab0a2579cc9351ce!8m2!3d24.376058!4d54.630304!16s%2Fg%2F11kqd27r1n!19sChIJJ2ioW8dJXj4RzlGTzHklCqs?authuser=0&hl=en&rclk=1				971566954454	+971 2 666 6610				Website Maintenance		Google Maps	New	Warm				Not Sent		-	-			
LD-0003	03-Jul-2026	UAE	Dentist	International Center for Dental Excellence			Abu Dhabi	https://icdexcell.com	https://www.google.com/maps/place/International+Center+for+Dental+Excellence/data=!4m7!3m6!1s0x3e5e42736b689e59:0x757ad65caf5b5894!8m2!3d24.4176205!4d54.4408457!16s%2Fg%2F11b5vv40kz!19sChIJWZ5oa3NCXj4RlFhbr1zWenU?authuser=0&hl=en&rclk=1				info@icdexcell.com	+971 2 447 7752				Website Maintenance		Google Maps	New	Warm				Not Sent		-	-			
LD-0004	03-Jul-2026	UAE	Dentist	Perfect Smile Dental Centre LLC SPC			Abu Dhabi	http://www.perfectsmiledental.ae	https://www.google.com/maps/place/Perfect+Smile+Dental+Centre+LLC+SPC/data=!4m7!3m6!1s0x3e5e66673c95f0e3:0xa5c814e3c625e3a!8m2!3d24.4926217!4d54.366618!16s%2Fg%2F11bw4r3q8z!19sChIJ4_CVPGdmXj4ROl5iPE6BXAo?authuser=0&hl=en&rclk=1				971 5 637 79902	+971 2 633 4660				Website Design		Google Maps	New	Warm				Not Sent		-	-			
LD-0005	03-Jul-2026	UAE	Dentist	Royal Specialized Dental Clinic Abu Dhabi			Abu Dhabi	https://www.royalsdc.ae	https://www.google.com/maps/place/Royal+Specialized+Dental+Clinic+Abu+Dhabi/data=!4m7!3m6!1s0x3e5e666797f6ae69:0x4344e55f75e043f9!8m2!3d24.4906533!4d54.3674375!16s%2Fg%2F11bbwpmd3w!19sChIJaa72l2dmXj4R-UPgdV_lREM?authuser=0&hl=en&rclk=1				971503064500	+971 2 632 3993				Website Design		Google Maps	New	Warm				Not Sent		-	-			
LD-0006	03-Jul-2026	UAE	Dental clinic	True Smile Dental Center Abu Dhabi			Abu Dhabi	https://truesmile.ae	https://www.google.com/maps/place/True+Smile+Dental+Center+Abu+Dhabi/data=!4m7!3m6!1s0x3e5e697a33cd127d:0x853df27b37ca7230!8m2!3d24.4986858!4d54.394104!16s%2Fg%2F11jgt5df79!19sChIJfRLNM3ppXj4RMHLKN3vyPYU?authuser=0&hl=en&rclk=1				971504162866	+971 2 550 2900				Website Design		Google Maps	New	Warm				Not Sent		-	-			
LD-0007	03-Jul-2026	UAE	Dental clinic	Dental Experts Center			Abu Dhabi	http://www.dentexp.com	https://www.google.com/maps/place/Dental+Experts+Center/data=!4m7!3m6!1s0x3e5e65e7bd5d77f7:0xf17b34ff3e38c748!8m2!3d24.4689271!4d54.3377058!16s%2Fg%2F11c4343lhs!19sChIJ93ddvedlXj4RSMc4Pv80e_E?authuser=0&hl=en&rclk=1				+971 2 681 0060	+971 2 681 0060				Website Design		Google Maps	New	Warm				Not Sent		-	-			
LD-0008	03-Jul-2026	UAE	Dentist	Vision Dental Clinic Abu Dhabi - عيادة فيجن لطب الأسنان أبوظبي			Abu Dhabi	https://visiondentalclinic.com	https://www.google.com/maps/place/Vision+Dental+Clinic+Abu+Dhabi+-+%D8%B9%D9%8A%D8%A7%D8%AF%D8%A9+%D9%81%D9%8A%D8%AC%D9%86+%D9%84%D8%B7%D8%A8+%D8%A7%D9%84%D8%A3%D8%B3%D9%86%D8%A7%D9%86+%D8%A3%D8%A8%D9%88%D8%B8%D8%A8%D9%8A%E2%80%AD/data=!4m7!3m6!1s0x3e5e6664f4cda137:0xb71cb86ecc4afdf4!8m2!3d24.4906469!4d54.3599169!16s%2Fg%2F11c48dgr20!19sChIJN6HN9GRmXj4R9P1KzG64HLc?authuser=0&hl=en&rclk=1				info@visiondentalclinic.com	+971 52 312 2777				Website Design		Google Maps	New	Warm				Not Sent		-	-			
LD-0009	03-Jul-2026	UAE	Dentist	FirstDent Dental Center			Abu Dhabi	https://www.firstdent.ae	https://www.google.com/maps/place/FirstDent+Dental+Center/data=!4m7!3m6!1s0x3e5e67c263ea1a2b:0xf8238a99058797de!8m2!3d24.4775214!4d54.3708624!16s%2Fg%2F11s8vqjv8s!19sChIJKxrqY8JnXj4R3peHBZmKI_g?authuser=0&hl=en&rclk=1				+971 58 581 5860	+971 58 581 5860				Website Design		Google Maps	New	Warm				Not Sent		-	-			
LD-0010	03-Jul-2026	UAE	Dental clinic	Al Khaja Medical Center LLC (Medical & Dental Clinic)			Abu Dhabi	http://www.alkhajamedicalcenter.ae	https://www.google.com/maps/place/Al+Khaja+Medical+Center+LLC+%28Medical+%26+Dental+Clinic%29/data=!4m7!3m6!1s0x3e5e664e88e60c75:0xab312246302366dc!8m2!3d24.4939226!4d54.3682796!16s%2Fg%2F11bbwqt8ql!19sChIJdQzmiE5mXj4R3GYjMEYiMas?authuser=0&hl=en&rclk=1				971509101739	+971 2 672 0048				Website Design		Google Maps	New	Warm				Not Sent		-	-			
